"ppe","esm","efm","egdd","points","class"
-202.899993896484,-5.59999990463257,10.6000003814697,1176,54.431999206543,301
-186.199996948242,-3.40000009536743,15,1089,45.8877601623535,301
-194,-2.09999990463257,15.5,1070,44.0201988220215,401
-174.899993896484,1.79999995231628,19.7000007629395,1002,37.3256988525391,401
-173.399993896484,2.59999990463257,21.2000007629395,1000,37.0480003356934,401
-159.800003051758,3.59999990463257,22.3999996185303,970,34.1879997253418,401
-184.899993896484,-5.90000009536743,13,1138,50.7280197143555,301
-168.199996948242,4.09999990463257,22.7999992370605,979,34.9854888916016,401
-158.300003051758,-2.70000004768372,17.5,1062,43.206241607666,401
-192.199996948242,-8,12.3999996185303,1160,52.9536018371582,301
-204.699996948242,-3.5,15.1999998092651,1091,46.0705299377441,301
-134.800003051758,0.200000002980232,21.1000003814697,1001,37.2408714294434,401
-238.600006103516,-7.90000009536743,9.30000019073486,1175,54.5444984436035,311
-258.600006103516,-10,6.19999980926514,1225,59.6124992370605,311
-164.100006103516,-0.200000002980232,19.8999996185303,1008,37.956241607666,401
-261,-7.19999980926514,7.59999990463257,1237,60.4895210266113,211
-245.100006103516,-5.30000019073486,11.1000003814697,1204,57.0296783447266,311
-218.199996948242,-13.3999996185303,7.19999980926514,1257,62.822338104248,201
-144.199996948242,2.29999995231628,23.2000007629395,963,33.5593490600586,401
-267.600006103516,-9.89999961853027,5.40000009536743,1244,61.469799041748,211
-187.399993896484,-1.5,17.7999992370605,1050,42.0164985656738,401
-262.399993896484,-9,6.40000009536743,1235,60.4901008605957,211
-245.399993896484,-2.29999995231628,17.1000003814697,1202,56.2990417480469,311
-225.699996948242,-4.09999990463257,12.8999996185303,1155,52.2365989685059,311
-237.399993896484,-13.6000003814697,5.59999990463257,1251,62.3657989501953,211
-250.600006103516,-3,18.5,1230,58.8735008239746,311
-234.300003051758,-6.59999990463257,10.8000001907349,1173,54.1943397521973,311
-200.600006103516,-1,18.6000003814697,1099,46.5267601013184,301
-242.899993896484,-8.89999961853027,8.69999980926514,1197,56.7269401550293,311
-233.399993896484,-16.1000003814697,4.80000019073486,1296,66.9064788818359,211
-235.600006103516,-17.7999992370605,2.5,1321,69.5981292724609,211
-158.600006103516,3.79999995231628,25.2000007629395,985,35.4584999084473,401
-235.899993896484,-18.8999996185303,2,1331,70.6803894042969,211
-116.599998474121,7,30.5,896,27.1924991607666,501
-256.700012207031,-12.6999998092651,4.69999980926514,1246,61.8867988586426,211
-251.600006103516,-2.5,20.8999996185303,1260,61.4855995178223,211
-249,-13.6000003814697,4.80000019073486,1241,61.4590797424316,211
-248.300003051758,-16.1000003814697,2.79999995231628,1284,65.8897171020508,211
-98.9000015258789,5.69999980926514,30.2000007629395,887,26.8288345336914,501
-254.600006103516,-13.3000001907349,4.69999980926514,1263,63.5551795959473,211
-254.899993896484,-2.09999990463257,22.3999996185303,1284,63.591480255127,211
-235.899993896484,-17.7000007629395,3.29999995231628,1306,68.0866394042969,211
-259.299987792969,-12.1000003814697,5,1251,62.3072090148926,211
-134.399993896484,0.5,24.6000003814697,991,36.1635894775391,401
-240.699996948242,-18.5,2.29999995231628,1325,70.0494995117188,211
-248.5,-14.3999996185303,4.59999990463257,1265,63.8266983032227,211
-253.5,-2.40000009536743,23.5,1306,65.5803375244141,211
-241.800003051758,-12.1000003814697,6.90000009536743,1241,61.2283210754395,211
-251.800003051758,-1.79999995231628,25.1000003814697,1298,64.6836624145508,211
-218.199996948242,-17.7999992370605,4.90000009536743,1296,67.0178375244141,201
-251.399993896484,-2.09999990463257,23.3999996185303,1290,64.0802993774414,211
-252.399993896484,-2.40000009536743,23.8999996185303,1299,64.9021530151367,211
-248.399993896484,-2.09999990463257,22.6000003814697,1273,62.5553512573242,211
-250.300003051758,-1.10000002384186,25.8999996185303,1295,64.301399230957,211
-247.399993896484,-0.400000005960464,26.3999996185303,1286,63.3863983154297,211
-241.600006103516,-16.5,3.40000009536743,1284,65.8760375976562,211
-83.4000015258789,8.30000019073486,32.7999992370605,839,24.4948558807373,501
-207.699996948242,-16.8999996185303,5,1260,63.4854011535645,201
-240.800003051758,0.800000011920929,27.2000007629395,1266,61.405200958252,211
-248.300003051758,-3.59999990463257,19.7999992370605,1258,61.4440383911133,211
-222.699996948242,2.79999995231628,30.1000003814697,1245,59.1529502868652,301
