"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
938011,-77.3,458,24.1,82.6,0,0,92.1,7.90000000000001,7.41,8.26,0,6.66207000000001,"7H"
455013,45.5,1127,51.7,65.1,0,0,47.3,52.7,10,6.51,0,43.99923,"4H"
466004,-54,1237,70.4,49.6,0,0,36.3,63.7,10,4.96,0,54.17048,"3H"
553014,-186.4,2107,37.5,9.6,0,7.28,0,92.72,8.75,0.96,0,83.716888,"1"
633004,-158.5,1178,0.4,33.3,0,1.7,42.2,57.8,5.04,3.33,0,52.96214,"3H"
745016,-250.9,1451,-10,-7,0,20.18,14.9,79.82,4,0,0,76.6272,"2A"
544002,-168.9,1972,29.6,18.7,0,3.78,0,96.22,7.96,1.87,0,86.761574,"1"
1007004,-394.3,1829,-43.8,-41.5,0,48.86,0,51.14,0.62,0,0,50.822932,"3A"
946015,251.3,1210,195.1,216.9,0,0,39,61,10,10,0,48.8,"3H"
317010,55.9,625,62.7,69.2,0,0,83.75,16.25,10,6.92,0,13.5005,"6H"
102010,36.7,140,19,39.3,0,0,108,-8,6.9,3.93,0,-7.1336,"7H"
923024,-27.2,333,27.3,86.3,0,0,98.35,1.65000000000001,7.73,8.63,0,1.38006,"7H"
263011,-205.6,1178,6,33.1,0,11.12,42.2,57.8,5.6,3.31,0,52.65002,"3H"
887002,-133.7,588,-2.1,21.8,0,0,85.6,14.4,4.79,2.18,0,13.39632,"6H"
393001,-124.6,1075,12.7,49.2,0,0,52.5,47.5,6.27,4.92,0,42.18475,"4H"
491013,-46.3,1272,58,36.9,0,0,32.8,67.2,10,3.69,0,58.00032,"3H"
328004,63.8,793,59.5,76.3,0,0,75.35,24.65,10,7.63,0,20.304205,"5H"
245002,-176.1,1218,-13.2,13.3,0,5.22,38.2,61.8,3.68,1.33,0,58.70382,"3H"
954042,-133.1,1448,110.2,24,0,0,15.2,84.8,10,2.4,0,74.2848,"2H"
493013,-139.6,1664,42.4,15.2,0,0,0,102.08,9.24,1.52,0,91.096192,"1"
500002,-73.4,1518,61.7,23.7,0,0,8.19999999999999,91.8,10,2.37,0,80.44434,"1"
969004,-154.1,1040,-11.4,16.2,0,0.82,56,44,3.86,1.62,0,41.5888,"4H"
706008,-267.5,1463,-7.8,-11,0,23.5,13.7,76.5,4.22,0,0,73.2717,"2A"
623014,-117,1252,-27.4,3.8,0,0,34.8,65.2,2.26,0.38,0,63.47872,"2H"
179002,-23.1,385,16.9,42.7,0,0,95.75,4.25,6.69,4.27,0,3.7842,"7H"
612007,-150.6,1197,-15.4,10.6,0,0.119999999999997,40.3,59.7,3.46,1.06,0,57.00156,"3H"
580001,-260.2,1337,-18,5.9,0,22.04,26.3,73.7,3.2,0.59,0,70.90677,"2AH"
541036,-165.4,1998,31.2,18.9,0,3.08,0,96.92,8.12,1.89,0,87.218308,"1"
1023003,-113.3,759,19.7,47.4,0,0,77.05,22.95,6.97,4.74,0,20.262555,"5H"
978021,-310,1099,-29.3,-31.5,0,32,50.1,49.9,2.07,0,0,48.86707,"3AH"
11028,122.6,133,40.3,73.6,0,0,108.35,-8.34999999999999,9.03,7.36,0,-6.98143499999999,"7H"
452002,32.1,802,59.1,65.9,0,0,74.9,25.1,10,6.59,0,20.93591,"5H"
614001,-76.8,1129,-6.8,25.3,0,0,47.1,52.9,4.32,2.53,0,49.27635,"3H"
491014,-74.1,1363,56.9,28.5,0,0,23.7,76.3,10,2.85,0,66.49545,"2H"
656002,-212.9,1278,-6.5,11.8,0,12.58,32.2,67.8,4.35,1.18,0,64.05066,"2H"
591049,-224.3,1270,-18.7,-7.5,0,14.86,33,67,3.13,0,0,64.9029,"2H"
989010,-113,612,45,11.8,0,0,84.4,15.6,9.5,1.18,0,13.93392,"6H"
923011,-64.6,388,11.2,60.6,0,0,95.6,4.40000000000001,6.12,6.06,0,3.86408,"7H"
920021,-118,619,2.7,47.8,0,0,84.05,15.95,5.27,4.78,0,14.347025,"6H"
351010,-187.4,1206,-2.1,29.5,0,7.48,39.4,60.6,4.79,2.95,0,55.90956,"3H"
992004,-137.8,735,43.6,3.5,0,0,78.25,21.75,9.36,0.35,0,19.638075,"6H"
